Value.Item1.Item1,Value.Item1.Item2,Value.Item1.Item3.X,Value.Item1.Item3.Y,Value.Item2.Item1.Item1,Value.Item2.Item1.Item2,Value.Item2.Item1.Item3,Value.Item2.Item1.Item4,Value.Item2.Item1.Item5,Value.Item2.Item2.Item1,Value.Item2.Item2.Item2,Value.Item2.Item2.Item3,Value.Item2.Item2.Item4,Value.Item2.Item2.Item5,Value.Item2.Item3.Item1,Value.Item2.Item3.Item2,Value.Item2.Item3.Item3,Value.Item2.Item3.Item4,Value.Item2.Item3.Item5,Value.Item2.Item4.Item1,Value.Item2.Item4.Item2,Value.Item2.Item4.Item3,Value.Item2.Item4.Item4,Value.Item2.Item4.Item5,Timestamp
139738623068439,0,NaN,NaN,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:51.6406784+01:00
139740146607379,1,279.158051,8.38819122,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.1643392+01:00
139740186475665,2,69.5538177,9.07908249,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.2024064+01:00
139740227368894,3,137.537735,8.78173351,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.2484096+01:00
139740267237221,4,134.551804,8.88935375,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.2850944+01:00
139740307116778,5,97.9951324,8.79031563,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.3227008+01:00
139740346996417,6,132.561691,8.67552376,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.3591552+01:00
139740386865273,7,105.393349,9.01255035,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.3992448+01:00
139740426745115,8,98.7301483,9.06497669,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.4430976+01:00
139740466613238,9,91.3634872,9.09762478,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.4835328+01:00
139740506481809,10,101.581543,8.86552429,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.5239168+01:00
139740547386311,11,73.1476593,9.42753124,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.5598848+01:00
139740587266153,12,80.3693237,8.98927212,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.5992064+01:00
139740627134358,13,81.4649734,8.89484978,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.6403072+01:00
139740667014322,14,81.5786667,8.65358925,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.6796544+01:00
139740706882568,15,70.9786148,9.05435944,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.7202560+01:00
139740746762369,16,81.5834427,8.97919273,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.7589888+01:00
139740786631144,17,94.3085327,8.79991436,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.8017280+01:00
139740826499672,18,86.0698318,8.87610722,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.8396032+01:00
139740866379272,19,79.0177078,9.02537251,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.8803200+01:00
139740906247800,20,83.984108,9.27285957,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.9187840+01:00
139740946127441,21,79.0219193,9.21070099,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.9587456+01:00
139740985996132,22,100.641685,8.96684837,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:53.9993472+01:00
139741025875569,23,93.90905,8.89824104,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.0405376+01:00
139741065744342,24,101.726303,8.92632198,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.0788864+01:00
139741105612424,25,108.61515,8.69680691,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.1192448+01:00
139741145492470,26,94.2366333,9.14082813,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.1582208+01:00
139741186385294,27,83.1310196,9.01758385,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.1993984+01:00
139741226265217,28,80.201622,9.01362991,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.2379776+01:00
139741266145019,29,47.8166924,9.42324352,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.2788992+01:00
139741306013346,30,93.8354111,9.15299988,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.3189760+01:00
139741345893473,31,78.9471283,8.99637699,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.3573760+01:00
139741385761922,32,76.8845139,9.09823227,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.3966208+01:00
139741425630004,33,71.326149,9.17485237,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T11:06:54.4404864+01:00
