Value.Item1.Item1,Value.Item1.Item2,Value.Item1.Item3.X,Value.Item1.Item3.Y,Value.Item2.Item1.Item1,Value.Item2.Item1.Item2,Value.Item2.Item1.Item3,Value.Item2.Item1.Item4,Value.Item2.Item1.Item5,Value.Item2.Item2.Item1,Value.Item2.Item2.Item2,Value.Item2.Item2.Item3,Value.Item2.Item2.Item4,Value.Item2.Item2.Item5,Value.Item2.Item3.Item1,Value.Item2.Item3.Item2,Value.Item2.Item3.Item3,Value.Item2.Item3.Item4,Value.Item2.Item3.Item5,Value.Item2.Item4.Item1,Value.Item2.Item4.Item2,Value.Item2.Item4.Item3,Value.Item2.Item4.Item4,Value.Item2.Item4.Item5,Timestamp
157248954937824,0,NaN,NaN,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:33.6988416+01:00
157248994795002,1,87.9463882,962.186157,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:33.7426048+01:00
157249034663329,2,41.9345779,999.952332,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:33.7762304+01:00
157249074554605,3,60.2622757,971.360718,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:33.8264064+01:00
157249114423217,4,55.0291061,981.853271,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:33.8594688+01:00
157249154302936,5,44.44244,1005.55896,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:33.8974336+01:00
157249194171426,6,48.916996,995.584106,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:33.9382016+01:00
157249234040119,7,51.5439224,996.351074,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:33.9809024+01:00
157249274944823,8,40.4741821,1013.47961,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.0222720+01:00
157249314810179,9,39.2627563,1015.10712,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.0570624+01:00
157249354693195,10,46.3314018,1022.90771,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.0996480+01:00
157249394572793,11,38.5526237,997.813171,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.1371648+01:00
157249434438841,12,563.587097,38.9393158,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.1802112+01:00
157249474309447,13,565.195068,57.9206657,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.2180096+01:00
157249514187295,14,555.139832,69.1752319,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.2596608+01:00
157249554057941,15,569.577515,91.8821487,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.3020544+01:00
157249594951170,16,575.965088,102.705055,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.3391872+01:00
157249634819497,17,600.266602,130.777802,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.3830784+01:00
157249674710814,18,603.956116,128.54567,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.4213120+01:00
157249714579710,19,616.818115,151.220444,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.4609408+01:00
157249754448363,20,628.935486,156.475739,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.4973568+01:00
157249794328042,21,632.965698,155.21579,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:58:34.5433728+01:00
