Date,Trial Number,Rat Number,Rat Sex,Rat Age,Object 1,Object 2,Environment,Trial Type,NewPosition1,NewPosition2,Position1Ratio,Position2Ratio,DiscriminationScore,FirstObjectApproached,SecondsbeforeStart,Notes,,,,,,,,,,,FramePosition,Frames,,Objects,Frames1
7/5/2024,0,r1566,F,p17,gnome,gnome,baseline,learn,1424,1223,NA,NA,NA,2,3,N/A,,,,,,,,,Grooming,,1,1423,,Gnome,1423
7/5/2024,1,r1566,F,p17,green jar,green jar,similar,learn,1095,1042,NA,NA,NA,1,3,"The rat is moving faster around the walls, meaning that they have noticed a difference in environment",,,,,,,,,Positional preference,,1,1078,,Gnome,1123
7/5/2024,2,r1566,F,p17,gnome,green jar,baselineS,test,2047,892,1.4375,0.7293540474,0.3035045934,2,3,"Tracking is a little bit problematic in this one. Maybe it is because the corners of the walls are not quite in lign with the camera cropping, but coding showed no problems",,,,,,,,,,,1,701,,Gnome,792
7/5/2024,0,r1567,F,p17,green jar,green jar,similar,learn,701,816,NA,NA,NA,2,3,The rat did not explore either objects much.,,,,,,,,,,,1,1123,,Gnome,
7/5/2024,1,r1567,F,p17,gnome,gnome,baseline,learn,1128,1283,NA,NA,NA,2,4,The rat seemed to explore the objects more in the baseline environment--the environment they are preexposed to,,,,,,,,,,,1,253,,Gnome,1156
7/5/2024,2,r1567,F,p17,green jar,gnome,similar,test,741,1600,1.057061341,1.960784314,0.6834686032,2,3,N/A,,,,,,,,,,,1,792,,Gnome,1245
7/5/2024,0,r1568,M,p17,green jar,green jar,baseline,learn,253,1065,NA,NA,NA,2,3,The rat seemed to explore exclusively the green jar at position 2 but not position 1. Positional preference.,,,,,,,,,,,1,0,,Gnome,1719
7/5/2024,1,r1568,M,p17,gnome,gnome,similar,learn,792,1719,NA,NA,NA,2,4,"Similar to the previous trial, the rat seemed to show a clear position preference toward position 2. Positional preference.",,,,,,,,,,,1,505,,Gnome,771
7/5/2024,2,r1568,M,p17,gnome,green jar,similar,test,2091,934,2.640151515,0.5433391507,0.3087603306,2,3,N/A,,,,,,,,,,,1,400,,GreenJar,1078
7/5/2024,0,r1569,M,p17,gnome,gnome,similar,learn,0,771,NA,NA,,2,3,The rat did not go to the object at position 1 at all. Positional preference.,,,,,,,,,,,1,1177,,GreenJar,701
