RatNumber,RatAge,Environment,Discrimination Score
r1566,Preweaning,baselineS,0.3035045934
r1567,Preweaning,similar,0.6834686032
r1568,Preweaning,similar,0.3087603306
r1569,Preweaning,baselineS,0.8945111492
r1566,Preweaning,baselineD,0.2479770295
r1567,Preweaning,baselineD,0.613154961
r1568,Preweaning,different,0.3670807453
r1569,Preweaning,different,0.3355342137
r1584,Preweaning,different,0.6899711966
r1585,Preweaning,baselineD,0.7774086379
r1586,Preweaning,baselineD,0.3937043796
r1587,Preweaning,different,0.241337386
r1584,Preweaning,baselineS,0.4624715694
r1585,Preweaning,similar,0.7767348307
r1586,Preweaning,baselineS,0.82417962
r1587,Preweaning,similar,0.5998160074
r1588,Preweaning,baselineS,0.7087912088
r1589,Preweaning,baselineS,0.4498794351
r1590,Preweaning,similar,
r1591,Preweaning,similar,0.5068686157
r1588,Preweaning,different,0.8566680515
r1589,Preweaning,baselineD,0.5453579022
r1590,Preweaning,different,
r1591,Preweaning,baselineD,0.8894493485
r1570,Postweaning,similar,0.6824605154
r1571,Postweaning,baselineS,
r1572,Postweaning,baselineS,0.3177570093
r1573,Postweaning,similar,0.6577129701
r1570,Postweaning,different,0.4111111111
r1571,Postweaning,different,
r1572,Postweaning,baselineD,0.6578673872
r1573,Postweaning,baselineD,0.5915263444
r1592,Postweaning,baselineD,0.7648026316
r1593,Postweaning,different,0.8097808828
r1594,Postweaning,different,0.5762430939
r1595,Postweaning,baselineD,0.8071895425
r1592,Postweaning,baselineS,0.2213529682
r1593,Postweaning,similar,0.9040074557
r1594,Postweaning,similar,0.3290129611
r1595,Postweaning,baselineS,0.2892599278
r1596,Postweaning,similar,0.8163493841
r1597,Postweaning,similar,0.3240270728
r1598,Postweaning,baselineS,0.6422215403
r1599,Postweaning,baselineS,0.6680769231
r1596,Postweaning,different,0.830201121
r1597,Postweaning,different,0.6702937976
r1598,Postweaning,baselineD,0.3894637817
r1599,Postweaning,baselineD,0.7880530973
r1578,Adult,similar,0.6637681159
r1579,Adult,similar,0.8127600555
r1580,Adult,baselineS,0.5879377432
r1581,Adult,baselineS,0.3192488263
r1578,Adult,different,0.6771300448
r1579,Adult,baselineD,0.9051306873
r1580,Adult,different,0.8355325165
r1581,Adult,baselineD,0.9683794466
r1524,Adult,similar,0.8599562363
r1524,Adult,baselineD,0.5062893082
r1558,Adult,different,0.5860082305
r1561,Adult,baselineD,0.8396860987
r1562,Adult,baselineD,0.5481942715
r1563,Adult,different,0.1984997115
r1558,Adult,similar,0.6044386423
r1561,Adult,baselineS,0.6463063639
r1562,Adult,baselineS,0.7678241216
r1563,Adult,similar,0.3678010471
