Value.Item1.Item1,Value.Item1.Item2,Value.Item1.Item3.X,Value.Item1.Item3.Y,Value.Item2.Item1.Item1,Value.Item2.Item1.Item2,Value.Item2.Item1.Item3,Value.Item2.Item1.Item4,Value.Item2.Item1.Item5,Value.Item2.Item2.Item1,Value.Item2.Item2.Item2,Value.Item2.Item2.Item3,Value.Item2.Item2.Item4,Value.Item2.Item2.Item5,Value.Item2.Item3.Item1,Value.Item2.Item3.Item2,Value.Item2.Item3.Item3,Value.Item2.Item3.Item4,Value.Item2.Item3.Item5,Value.Item2.Item4.Item1,Value.Item2.Item4.Item2,Value.Item2.Item4.Item3,Value.Item2.Item4.Item4,Value.Item2.Item4.Item5,Timestamp
136055948225136,0,NaN,NaN,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.5070080+01:00
136056082323322,1,313.13797,701.947266,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.6384128+01:00
136056122189126,2,305.617493,703.514404,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.6765568+01:00
136056162071572,3,116.202065,1043.63831,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.7197952+01:00
136056201937295,4,305.1362,703.56012,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.7582720+01:00
136056241807982,5,305.352417,703.663635,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.7980800+01:00
136056281688231,6,115.542473,1043.66528,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.8389760+01:00
136056321568114,7,305.116455,703.420044,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.8778624+01:00
136056361436400,8,305.494507,703.441589,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.9178368+01:00
136056402329629,9,305.434296,703.384277,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.9590144+01:00
136056442198281,10,113.446342,1043.6582,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:28.9990016+01:00
136056482078327,11,305.423035,703.530273,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.0369408+01:00
136056521946776,12,305.35025,703.484253,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.0783232+01:00
136056561812661,13,305.6091,703.492065,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.1179264+01:00
136056601706419,14,305.516998,703.481262,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.1580544+01:00
136056641574868,15,305.538239,703.482483,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.1965440+01:00
136056681443114,16,305.428223,703.70166,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.2370304+01:00
136056722347939,17,305.355225,703.591187,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.2803456+01:00
136056762216388,18,305.559662,703.493469,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.3158400+01:00
136056802084715,19,305.47406,703.230713,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.3569920+01:00
136056841964598,20,305.471924,703.438171,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.3969920+01:00
136056881844440,21,305.1875,703.514282,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.4365312+01:00
136056921713174,22,651.336548,88.2572632,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.4783104+01:00
136056961592934,23,635.514221,212.381409,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.5175424+01:00
136057001461302,24,626.235657,307.559662,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.5567104+01:00
136057041341022,25,615.343018,362.292725,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.5965312+01:00
136057081197956,26,602.911499,383.628998,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.6371328+01:00
136057121077838,27,599.944885,400.932587,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.6771200+01:00
136057160946613,28,596.63446,413.112305,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.7171200+01:00
136057200826496,29,594.738586,415.635101,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.7591936+01:00
136057240706338,30,589.727295,413.069427,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.7967744+01:00
136057280574990,31,581.406128,408.07251,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.8385536+01:00
136057320454792,32,577.8974,396.268677,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.8762752+01:00
136057361347695,33,573.845154,390.330902,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.9162112+01:00
136057401216307,34,566.179932,387.731262,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.9582720+01:00
136057441096108,35,562.96991,385.462769,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:29.9955456+01:00
136057480964476,36,560.013306,392.789246,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.0368256+01:00
136057520844074,37,556.166077,395.588745,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.0761984+01:00
136057560724241,38,552.395691,407.296387,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.1176320+01:00
136057600592812,39,551.887512,413.870605,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.1549824+01:00
136057640461139,40,552.906799,419.178589,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.1966976+01:00
136057680341022,41,555.305725,423.068207,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.2373504+01:00
136057720209349,42,553.963379,419.162079,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.2774144+01:00
136057760078205,43,561.893433,417.31485,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.3144704+01:00
136057799946654,44,575.170044,410.771149,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.3548800+01:00
136057839837929,45,597.847595,454.197327,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.3970048+01:00
136057879706541,46,517.290894,204.233246,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.4354688+01:00
136057919585814,47,518.684937,214.208374,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.4756864+01:00
136057959454832,48,709.075867,460.685364,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.5151616+01:00
136058000347410,49,305.378326,703.424561,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.5562496+01:00
136058040216022,50,812.207642,215.123077,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.5960192+01:00
136058080096271,51,533.685425,438.930054,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.6369664+01:00
136058119975950,52,535.90387,438.029144,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.6764928+01:00
136058159855955,53,539.275818,437.767517,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.7154688+01:00
136058199724404,54,543.498596,436.860535,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.7554176+01:00
136058239592934,55,546.539185,434.233276,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.7949056+01:00
136058279472329,56,549.137573,431.407196,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.8348544+01:00
136058319341185,57,549.769531,428.924225,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.8743168+01:00
136058359209756,58,550.589966,424.351318,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.9142400+01:00
136058399078286,59,553.712463,420.342346,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.9544064+01:00
136058438969562,60,556.209473,416.73819,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:30.9936768+01:00
136058478837970,61,559.48407,412.322937,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.0353536+01:00
136058518706582,62,562.97113,408.43985,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.0728704+01:00
136058558586058,63,568.213257,402.735291,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.1148800+01:00
136058598454466,64,572.52063,396.197418,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.1552896+01:00
136058639347817,65,576.330017,390.73468,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.1964032+01:00
136058679227618,66,580.031799,385.746124,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.2347648+01:00
136058719107582,67,585.145996,379.335114,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.2755840+01:00
136058758976276,68,587.427002,373.645203,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.3153152+01:00
136058798855670,69,587.696411,369.143158,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.3538304+01:00
136058838724119,70,586.683777,365.65564,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.3944064+01:00
136058878604205,71,587.419678,360.431763,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.4347520+01:00
136058918472858,72,592.502319,354.234192,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.4736000+01:00
136058958341103,73,598.916382,347.141144,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.5139200+01:00
136058998209511,74,603.947021,338.97052,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.5539584+01:00
136059038089638,75,609.538879,329.58139,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.5937408+01:00
136059077969480,76,614.436218,321.167297,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.6333312+01:00
136059117838133,77,620.772888,313.074097,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.6739584+01:00
136059157717527,78,626.651611,305.735413,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.7125760+01:00
136059197586220,79,631.879639,298.892792,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.7536768+01:00
136059237454792,80,635.180725,292.519714,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.7934464+01:00
136059278359291,81,635.889587,288.440277,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.8331776+01:00
136059318227578,82,636.046753,287.651672,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.8734336+01:00
136059358107501,83,639.134644,289.448303,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.9139072+01:00
136059397987506,84,644.804077,289.706879,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.9532416+01:00
136059437855589,85,651.445679,288.821472,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:31.9931008+01:00
136059477724404,86,656.319763,287.244507,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.0339712+01:00
136059517604287,87,659.946533,285.107513,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.0729984+01:00
136059557472817,88,661.563904,281.897705,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.1144320+01:00
136059597341307,89,660.518616,280.738556,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.1528192+01:00
136059637209674,90,661.349243,278.98584,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.1932928+01:00
136059677101235,91,660.571045,279.116058,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.2332928+01:00
136059716969399,92,661.360901,278.978577,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.2764544+01:00
136059756849200,93,661.689209,278.736969,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.3121664+01:00
136059796717527,94,659.889709,278.907532,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.3524992+01:00
136059836586098,95,657.797913,279.480408,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.3929088+01:00
136059876454792,96,657.292725,281.234741,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.4325504+01:00
136059917359129,97,660.262634,282.176514,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.4732672+01:00
136059957239052,98,663.699402,282.048248,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.5136384+01:00
136059997119098,99,664.704041,282.209991,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.5526144+01:00
136060036987384,100,666.621277,281.645416,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.5929472+01:00
136060076855792,101,666.257874,282.371399,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.6313728+01:00
136060116735675,102,667.806885,282.077118,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.6720512+01:00
136060156604327,103,669.823669,281.872772,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.7114624+01:00
136060196472410,104,668.231873,283.312592,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.7513216+01:00
136060236352781,105,665.906555,285.159088,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.7915008+01:00
136060276232542,106,662.711914,286.632416,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.8319616+01:00
136060316100991,107,661.721558,287.173828,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.8728960+01:00
136060355969562,108,663.205017,286.389069,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.9110912+01:00
136060395849445,109,666.21344,285.527832,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.9522944+01:00
136060435717690,110,668.160034,284.584229,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:32.9923328+01:00
136060475586302,111,668.744995,282.879852,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.0310912+01:00
136060515466062,112,669.068237,281.157928,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.0716672+01:00
136060556370644,113,670.186157,280.768646,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.1113856+01:00
136060596239255,114,670.379883,281.652191,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.1520768+01:00
136060636118894,115,672.092529,283.264923,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.1929472+01:00
136060675987669,116,672.355896,285.468445,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.2338688+01:00
136060715867307,117,672.849792,287.280762,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.2735104+01:00
136060755735471,118,674.299805,288.878906,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.3116800+01:00
136060795604449,119,675.844971,290.155365,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.3519872+01:00
136060835484291,120,677.335754,291.292084,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.3920896+01:00
136060875352537,121,679.142883,292.546936,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.4315136+01:00
136060915232420,122,679.783752,293.561432,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.4704768+01:00
136060955100828,123,680.823303,293.829742,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.5111424+01:00
136060994980751,124,682.427979,294.774017,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.5505408+01:00
136061034849119,125,687.163757,296.767914,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.5911936+01:00
136061074717894,126,689.063782,298.195404,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.6309248+01:00
136061114597776,127,690.602539,300.654388,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.6706560+01:00
136061154465900,128,692.263428,302.8638,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.7092352+01:00
136061195370603,129,693.137024,303.9617,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.7521536+01:00
136061235250528,130,692.24823,305.067413,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.7916544+01:00
136061275119138,131,692.228027,305.703644,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.8307968+01:00
136061314987669,132,691.832581,306.098389,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.8714496+01:00
136061354867185,133,689.416992,306.857239,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.9114880+01:00
136061394735553,134,687.230896,309.147034,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.9511680+01:00
136061434604409,135,686.784851,312.470032,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T10:05:33.9907968+01:00
