Value.Item1.Item1,Value.Item1.Item2,Value.Item1.Item3.X,Value.Item1.Item3.Y,Value.Item2.Item1.Item1,Value.Item2.Item1.Item2,Value.Item2.Item1.Item3,Value.Item2.Item1.Item4,Value.Item2.Item1.Item5,Value.Item2.Item2.Item1,Value.Item2.Item2.Item2,Value.Item2.Item2.Item3,Value.Item2.Item2.Item4,Value.Item2.Item2.Item5,Value.Item2.Item3.Item1,Value.Item2.Item3.Item2,Value.Item2.Item3.Item3,Value.Item2.Item3.Item4,Value.Item2.Item3.Item5,Value.Item2.Item4.Item1,Value.Item2.Item4.Item2,Value.Item2.Item4.Item3,Value.Item2.Item4.Item4,Value.Item2.Item4.Item5,Timestamp
153993542956419,0,NaN,NaN,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:17.8793472+01:00
154003034105833,1,64.1336288,975.430054,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.3793280+01:00
154003073985838,2,26.9730167,1029.2489,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.4129408+01:00
154003113854287,3,37.2055588,1017.57568,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.4582400+01:00
154003153733803,4,34.3669319,993.563049,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.4942336+01:00
154003193602456,5,72.1049347,1035.65161,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.5331200+01:00
154003233482542,6,35.7324219,1013.57208,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.5726848+01:00
154003273350909,7,37.4727173,1027.08899,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.6170880+01:00
154003313230751,8,21.5918217,1016.4502,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.6519424+01:00
154003353099078,9,35.9193687,1015.03583,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.6929280+01:00
154003392967731,10,54.7925491,1031.4812,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.7364096+01:00
154003433883626,11,20.2671871,1004.88367,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.7721984+01:00
154003474776488,12,27.5523853,1016.21533,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.8126464+01:00
154003514645100,13,23.0055389,1022.61578,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.8562176+01:00
154003554513753,14,56.7306862,1033.67419,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.8936832+01:00
154003594393635,15,28.5999794,1011.95068,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.9353600+01:00
154003634261922,16,46.5777054,1030.20862,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:27.9778176+01:00
154003674130574,17,44.7019768,1017.14844,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.0135296+01:00
154003714010335,18,396.107513,50.9756508,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.0560512+01:00
154003753890177,19,395.674622,73.3046494,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.0937344+01:00
154003793758585,20,413.742432,99.9810944,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.1355136+01:00
154003833638793,21,433.565643,118.492325,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.1785344+01:00
154003873506957,22,451.745911,136.074158,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.2152576+01:00
154003913375406,23,459.477905,141.368439,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.2587648+01:00
154003953255655,24,471.782593,147.209534,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.2921344+01:00
154003993124021,25,482.975464,153.169174,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.3355648+01:00
154004032992633,26,491.147858,157.810181,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.3748608+01:00
154004072883748,27,495.919922,163.277451,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.4132992+01:00
154004113777017,28,490.32785,147.392151,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-11T15:04:28.4552064+01:00
