Value.Item1.Item1.Item1,Value.Item1.Item1.Item2,Value.Item1.Item1.Item3.X,Value.Item1.Item1.Item3.Y,Value.Item1.Item2.Item1.Item1,Value.Item1.Item2.Item1.Item2,Value.Item1.Item2.Item1.Item3,Value.Item1.Item2.Item1.Item4,Value.Item1.Item2.Item1.Item5,Value.Item1.Item2.Item2.Item1,Value.Item1.Item2.Item2.Item2,Value.Item1.Item2.Item2.Item3,Value.Item1.Item2.Item2.Item4,Value.Item1.Item2.Item2.Item5,Value.Item1.Item2.Item3.Item1,Value.Item1.Item2.Item3.Item2,Value.Item1.Item2.Item3.Item3,Value.Item1.Item2.Item3.Item4,Value.Item1.Item2.Item3.Item5,Value.Item1.Item2.Item4.Item1,Value.Item1.Item2.Item4.Item2,Value.Item1.Item2.Item4.Item3,Value.Item1.Item2.Item4.Item4,Value.Item1.Item2.Item4.Item5,Value.Item2,Timestamp
80729994624957,0,NaN,NaN,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:47.9073920+01:00
80738077797688,1,236.525497,429.242249,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:55.9878912+01:00
80738117677530,2,68.1171875,368.340576,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.0236032+01:00
80738157546670,3,77.6903076,357.648315,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.0633216+01:00
80738197426512,4,234.205215,432.540283,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.1028480+01:00
80738237295328,5,74.0086746,362.480072,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.1431680+01:00
80738277175210,6,76.8915176,356.600647,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.1830400+01:00
80738317044066,7,73.9817505,361.730927,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.2238592+01:00
80738356912678,8,72.6047211,363.429779,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.2631808+01:00
80738396781697,9,232.117264,433.000122,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.3041920+01:00
80738437686278,10,72.0144119,363.964417,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.3441664+01:00
80738478591144,11,231.945068,433.936859,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.3836928+01:00
80738518459837,12,230.373962,433.010223,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.4232960+01:00
80738558328367,13,76.1330948,362.009613,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.4660608+01:00
80738598208779,14,77.0576859,357.742126,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.5048320+01:00
80738638077513,15,76.1960983,358.623627,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.5408000+01:00
80738677945799,16,75.0070496,359.975891,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.5833600+01:00
80738717811929,17,75.5672302,360.676849,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.6231424+01:00
80738757706500,18,75.3147812,360.176178,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.6629760+01:00
80738798599689,19,75.2911453,362.195282,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.7027328+01:00
80738838468422,20,78.1720963,358.374268,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.7452032+01:00
80738878336994,21,76.9817047,356.936646,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.7835136+01:00
80738918205687,22,77.5881958,355.55957,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.8226432+01:00
80738958074258,23,73.9594421,359.800903,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.8627840+01:00
80738997954547,24,73.7289276,363.911285,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.9032960+01:00
80739037834593,25,74.6791382,359.353271,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.9432832+01:00
80739077703693,26,74.4969788,359.148285,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:56.9826816+01:00
80739118608030,27,69.9926834,370.754333,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:57.0252928+01:00
80739159489744,28,76.2457123,361.077942,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:57.0660224+01:00
80739199369871,29,74.7479248,364.599701,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:57.1048064+01:00
80739239238971,30,74.163353,361.801544,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:57.1450112+01:00
80739279119057,31,74.893013,358.030548,1,461,501,238,278,2,200,240,453,493,3,0,0,0,0,4,0,0,0,0,False,2024-07-25T13:50:57.1853952+01:00
